trimmed_seq_name	complete_seq_name
A/Texas/88/2016	A/Texas/88/2016|EPI_ISL_222065|2016-02-24
A/Nevada/22/2016	A/Nevada/22/2016|EPI_ISL_219238|2016-03-04
A/Idaho/33/2016	A/Idaho/33/2016|EPI_ISL_232560|2016-06-07
A/Peru/27/2015	A/Peru/27/2015|EPI_ISL_192696|2015-04-13
A/Texas/71/2017	A/Texas/71/2017|EPI_ISL_258392|2017-03-18
A/Kansas/14/2017	A/Kansas/14/2017|EPI_ISL_292575|2017-12-14
A/Indiana/8/2018	A/Indiana/08/2018|EPI_ISL_305809|2018-02-06
A/Brisbane/501/2021	A/Brisbane/501/2021|EPI_ISL_3355458|2021-05-17
A/Newcastle/1/2021	A/Newcastle/1/2021|EPI_ISL_5933276|2021-09-30
A/California/179/2016	A/California/179/2016|EPI_ISL_240836|2016-12-03
A/Maryland/23/2016	A/Maryland/23/2016|EPI_ISL_239701|2016-11-26
A/Singapore/TT1374/2016	A/Singapore/TT1374/2016|EPI_ISL_240790|2016-12-01
A/Fiji/2/2015	A/Fiji/2/2015|EPI_ISL_193166|2015-03-03
A/Sapporo/71/2015	A/Stavropol/7/2015|EPI_ISL_209097|2015-12-15
A/Nebraska/19/2015	A/Nebraska/19/2015|EPI_ISL_202916|2015-10-23
A/Wisconsin/20/2015	A/Wisconsin/20/2015|EPI_ISL_176732|2015-02-24
A/Wisconsin/66/2015	A/Wisconsin/66/2015|EPI_ISL_191709|2015-04-21
A/Montana/28/2015	A/Montana/28/2015|EPI_ISL_201303|2015-09-24
A/Alaska/240/2015	A/Alaska/240/2015|EPI_ISL_202892|2015-09-15
A/NorthCarolina/4/2017	A/North_Carolina/14/2017|EPI_ISL_258344|2017-02-12
A/Washington/16/2017	A/Washington/16/2017|EPI_ISL_252740|2017-01-25
A/Brisbane/318/2016	A/Brisbane/318/2016|EPI_ISL_249207|2016-12-12
A/Brisbane/321/2016	A/Brisbane/321/2016|EPI_ISL_249201|2016-12-19
A/Nebraska/2/2017	A/Nebraska/12/2017|EPI_ISL_284907|2017-10-03
A/Peru/3817/2017	A/Peru/3817/2017|EPI_ISL_298379|2017-12-07
A/Bretagne/1413/2017	A/Bretagne/1413/2017|EPI_ISL_283128|2017-10-09
A/Switzerland/8060/2017	A/Switzerland/8060/2017|EPI_ISL_294252|2017-12-21
A/Brisbane/117/2018	A/Brisbane/117/2018|EPI_ISL_322718|2018-07-27
A/NewMexico/14/2018	A/New_Mexico/14/2018|EPI_ISL_305018|2018-02-23
A/HongKong/656/2018	A/Hong_Kong/656/2018|EPI_ISL_312267|2018-04-07
A/Brisbane/1/2018	A/Brisbane/1/2018|EPI_ISL_396179|2018-01-02
A/Alaska/232/2015	A/Alaska/232/2015|EPI_ISL_202884|2015-09-09
A/Canberra/7/2016	A/Canberra/7/2016|EPI_ISL_227639|2016-04-10
A/NorthCarolina/4/2016	A/North_Carolina/14/2016|EPI_ISL_219239|2016-03-10
A/Ontario/RV2414/2015	A/Ontario/RV2414/2015|EPI_ISL_208627|2015-11-12
A/Antananarivo/1067/2016	A/Antananarivo/1067/2016|EPI_ISL_230303|2016-04-05
A/SouthAustralia/135/2016	A/South_Australia/135/2016|EPI_ISL_239828|2016-11-04
A/Newcastle/30/2016	A/Newcastle/30/2016|EPI_ISL_227637|2016-03-29
A/Arizona/67/2016	A/Arizona/67/2016|EPI_ISL_233441|2016-05-04
A/Singapore/Infimh-16-0019/2016	A/Singapore/Inftt-16-00612/2016|EPI_ISL_311692|2016-06-02
A/Washington/106/2016	A/Washington/106/2016|EPI_ISL_241590|2016-12-18
A/Delaware/32/2016	A/Delaware/32/2016|EPI_ISL_239687|2016-11-15
A/SouthCarolina/4/2017	A/South_Carolina/14/2017|EPI_ISL_268305|2017-04-27
A/Florida/23/2017	A/Florida/23/2017|EPI_ISL_259804|2017-03-23
A/Texas/68/2017	A/Texas/68/2017|EPI_ISL_258358|2017-03-01
A/Singapore/TT0555/2017	A/Singapore/TT0555/2017|EPI_ISL_269771|2017-05-12
A/Yokohama/145/2017	A/Yokohama/138/2017|EPI_ISL_292541|2017-05-02
A/Sydney/22/2018	A/Sydney/22/2018|EPI_ISL_314014|2018-03-03
A/Nagano/2731/2017	A/Nagano/2531/2018|EPI_ISL_339838|2018-09-13
A/Victoria/653/2017	A/Victoria/653/2017|EPI_ISL_277940|2017-08-10
A/HongKong/2286/2017	A/Hong_Kong/2286/2017|EPI_ISL_269024|2017-05-23
A/Afghanistan/616/2017	A/Afghanistan/0616/2017|EPI_ISL_303068|2017-11-25
A/Afghanistan/833/2017	A/Afghanistan/0833/2017|EPI_ISL_303093|2017-12-10
A/LaRioja/2202/2018	A/LaRioja/2202/2018|EPI_ISL_314925|2018-04-02
A/AbuDhabi/240/2018	A/Abu_Dhabi/240/2018|EPI_ISL_307872|2018-01-01
A/Wisconsin/327/2017	A/Wisconsin/327/2017|EPI_ISL_283178|2017-09-22
A/NewCaledonia/8/2018	A/New_Caledonia/8/2018|EPI_ISL_322728|2018-02-28
A/HongKong/45/2019	A/HongKong/45/2019|EPI_ISL_410589|2018-12-24
A/Cambodia/e0403374/2020	A/Cambodia/e0403374/2020|EPI_ISL_514683|2020-03-08
A/Lao/418/2021	A/Laos/418/2021|EPI_ISL_2245461|2021-02-09
A/AbuDhabi/413000/2020	A/AbuDhabi/413000/2020|EPI_ISL_3372559|2021-02-10
A/HongKong/2671/2019	A/Hong_Kong/2671/2019|EPI_ISL_377302|2019-06-17
A/Darwin/726/2019	A/Darwin/726/2019|EPI_ISL_404076|2019-10-03
A/Delaware/39/2019	A/Delaware/39/2019|EPI_ISL_363971|2019-05-28
