name,date
MH368551.1,2016-06-14
KF993678.1,2013-02-19
MT377498.1,2016-04-26
KY272987.1,2016-08-30
KX051562.1,2015-01-16
MT377503.1,2015-08-27
KX051561.1,2013-09-21
MT377493.1,2017-02-23
MH119185.1,2016-12-01
KX051560.1,2013-07-09
MK238035.1,2018-09-18
MK238039.1,2018-10-11
MK238036.1,2018-10-10
MK238038.1,2018-10-15
MK238037.1,2018-10-10
KU681081.3,2014-07-19
MG807647.1,2017-09-07
MT377491.1,2017-03-20
MT377497.1,2016-11-25
MT377496.1,2016-11-20
MT377499.1,2016-12-08
KY241691.1,2016-09-13
MH013290.1,2017-10-01
MF692778.1,2016-10-31
MT377494.1,2017-11-24
MT377501.1,2017-11-22
MZ008356.1,2019-12-01
MT377492.1,2016-03-20
MG548660.1,2016-11-30
MF996804.1,2017-08-07
MG548661.1,2016-11-30
MT377500.1,2016-12-20
MG807646.1,2016-11-11
KY241756.1,2016-09-05
KY241688.1,2016-09-13
KX813683.1,2016-08-27
KY241729.1,2016-08-29
KY241714.1,2016-08-28
KY241717.1,2016-08-29
KY241712.1,2016-08-30
KY241700.1,2016-08-27
KY241683.1,2016-09-08
KY241740.1,2016-08-29
KY241783.1,2016-09-07
KY241721.1,2016-08-28
KY241696.1,2016-08-30
KY241779.1,2016-09-06
KY241778.1,2016-09-06
KY241682.1,2016-09-08
KY241780.1,2016-09-06
KY241727.1,2016-08-28
KY241722.1,2016-08-28
KY241787.1,2016-09-07
KY241673.1,2016-09-04
KY241766.1,2016-09-15
KY241736.1,2016-08-29
KY241689.1,2016-09-13
KY241726.1,2016-08-28
MH255601.1,2016-09-01
KY241781.1,2016-09-06
KY241777.1,2016-09-06
KY241738.1,2016-08-30
KY241782.1,2016-09-07
KY241707.1,2016-08-28
KY241744.1,2016-08-28
KY241734.1,2016-08-28
KY241769.1,2016-09-10
KY241690.1,2016-09-13
KY241694.1,2016-09-19
KY241692.1,2016-09-14
KY241775.1,2016-09-05
KY241693.1,2016-09-15
KY241704.1,2016-08-27
KY241731.1,2016-08-30
KY241728.1,2016-08-29
KY241678.1,2016-09-07
KY241675.1,2016-09-06
KY241767.1,2016-09-07
KY241685.1,2016-09-12
KY241676.1,2016-09-06
KY241684.1,2016-09-08
KY241677.1,2016-09-07
KY241679.1,2016-09-07
KY241754.1,2016-09-07
KY241687.1,2016-09-13
KY241760.1,2016-09-13
KY241761.1,2016-09-03
KY241771.1,2016-09-02
KY241709.1,2016-08-28
KY241757.1,2016-09-12
KY241786.1,2016-09-06
KY241763.1,2016-09-02
KY241755.1,2016-08-31
KY241719.1,2016-08-29
KY241703.1,2016-08-29
KY241750.1,2016-08-28
KY241746.1,2016-08-28
KY241752.1,2016-08-28
KY241770.1,2016-08-30
KY241762.1,2016-08-30
KY241747.1,2016-08-28
KY241674.1,2016-09-05
KY241701.1,2016-08-27
KY241753.1,2016-08-26
KY241743.1,2016-08-26
KY241724.1,2016-08-28
KY241737.1,2016-08-28
KY241723.1,2016-08-27
KY241702.1,2016-08-27
KY241732.1,2016-08-27
KY241772.1,2016-08-30
KY241699.1,2016-08-30
MN190155.1,2019-07-02
MN611472.1,2019-07-01
MW915411.1,2016-04-02
MW915414.1,2016-11-22
LC219720.1,2016-11-22
MW915412.1,2016-10-06
MW915413.1,2016-11-17
KX447517.1,2014-01-31
KX447516.1,2014-01-01
KX447515.1,2013-11-12
KX447514.1,2014-01-31
KJ776791.2,2013-11-28
KX447521.1,2014-02-28
KX447509.1,2013-12-14
KX806557.3,2016-02-01
LC191864.1,2016-04-21
KU761561.1,2016-02-01
KU761560.1,2016-02-29
KX117076.1,2016-02-17
KX013000.1,2016-02-17
KU997667.1,2016-02-16
KX185891.1,2016-02-17
MG674718.1,2016-04-16
MG674719.1,2016-04-16
MK696551.1,2018-07-01
MF099651.1,2016-08-31
MF964216.1,2016-12-01
KX266255.1,2016-02-14
MF036115.1,2016-11-02
KY967711.1,2016-11-01
KU955589.1,2016-02-16
KX253996.1,2016-02-16
KX447512.1,2013-12-01
KX447511.1,2014-01-04
KX447513.1,2013-12-31
KX447519.1,2013-11-01
MG976700.1,2014-01-06
KX447520.1,2014-01-31
KX447510.1,2013-12-31
KX447518.1,2013-12-18
KY559003.1,2015-08-28
KY241788.1,2016-05-13
KX051563.1,2016-02-05
KU509998.3,2014-12-12
KX986760.2,2016-02-29
KY558990.1,2016-01-15
KY558993.1,2016-01-18
KU321639.1,2015-03-28
MF352141.1,2015-05-13
MF783073.1,2016-05-10
KX101066.1,2015-05-31
KX101060.1,2015-05-01
MT439641.1,2016-04-05
KU940227.1,2015-07-15
KX101061.1,2015-05-31
KU940228.1,2015-07-01
KX520666.1,2015-08-31
KU940224.1,2015-08-01
MN101548.1,2017-11-11
MT439642.1,2016-04-06
MT636065.1,2016-01-02
MK269360.1,2016-08-09
,2016-09-13
MW008559.1,2016-08-15
KY559005.1,2016-04-18
KY559007.1,2016-04-18
KY559008.1,2016-04-19
KY559006.1,2016-04-18
KY559012.1,2016-04-19
KY559017.1,2016-05-19
KY559009.1,2016-04-19
KY559019.1,2016-05-24
KY559013.1,2016-04-24
KY559021.1,2016-03-10
KX197205.1,2015-12-01
KX830930.1,2016-03-01
MT439647.1,2016-04-14
MT439646.1,2016-04-06
MT439643.1,2016-04-12
MT439644.1,2016-04-20
KY785446.1,2016-03-22
MH882543.1,2016-05-05
MH882549.1,2016-04-30
MH882544.1,2016-05-12
MH882545.1,2016-05-19
MH882546.1,2016-05-24
MH882548.1,2016-06-09
MH882547.1,2016-06-02
KY014313.2,2016-04-05
KY014309.1,2016-03-28
KY014296.2,2016-04-18
KY014320.2,2016-03-23
KY014301.2,2016-04-13
KY785427.1,2016-03-30
KY559031.1,2016-01-01
KY014317.2,2016-03-21
KY559000.1,2015-08-09
MK216697.1,2016-04-26
MK216721.1,2016-01-25
KY559004.1,2016-04-16
KY559018.1,2016-02-25
KY559023.1,2016-03-22
KY559024.1,2016-03-03
KY559030.1,2016-01-01
KU497555.1,2015-11-30
KU991811.1,2016-03-06
KY559022.1,2016-03-13
KY558995.1,2015-05-13
KY559001.1,2015-08-20
KY558992.1,2016-01-06
KY785429.1,2016-04-14
KY559002.1,2015-09-09
KY558997.1,2015-05-14
KY559027.1,2016-02-16
KY014307.2,2016-03-28
KY785433.1,2016-04-08
KY558999.1,2016-07-10
KY559015.1,2016-04-24
KY559014.1,2016-04-24
KY558998.1,2015-06-15
KY558994.1,2016-01-18
KY785480.1,2016-03-30
KY785455.1,2016-04-06
KY558996.1,2015-05-13
KX548902.1,2015-10-07
KY317937.1,2016-01-07
KY693678.1,2016-06-28
KY693679.1,2016-07-11
MK049246.1,2016-03-09
MH179341.1,2015-12-10
KU647676.1,2015-12-01
KU922923.1,2016-02-25
KY785451.1,2016-03-22
KY075932.1,2016-03-22
KX087102.2,2015-12-01
MN577544.1,2016-06-01
MN577543.1,2014-12-11
KX702400.1,2016-03-25
KX247646.1,2016-02-09
MK269361.1,2016-08-05
KY989971.1,2015-12-01
KX156775.2,2015-12-11
KX156776.2,2015-12-18
KX156774.2,2015-12-18
MH544701.2,2016-01-17
MK049251.1,2016-08-30
KY785469.1,2016-04-05
KY785466.1,2016-04-28
MK049245.1,2016-02-29
KY317938.1,2016-01-10
KY317940.1,2016-01-09
KY317939.1,2016-01-06
KY317936.1,2016-01-16
KY014303.2,2016-04-11
MK049250.1,2016-06-22
MK049247.1,2016-01-29
KX811222.1,2016-06-14
MH513599.1,2015-12-11
KY559016.1,2016-04-25
MK829152.1,2017-05-25
MK829154.1,2017-10-26
MK049252.1,2016-05-16
MK049249.1,2016-11-02
MK049248.1,2016-07-27
KX879604.1,2016-04-02
KX879603.1,2016-04-30
MF794971.1,2016-05-01
KU926310.2,2016-01-29
MF073359.1,2015-03-01
MH882542.1,2016-04-19
MH882529.1,2016-05-03
MH882527.1,2016-04-26
MH882528.1,2016-04-26
MH882541.1,2016-04-19
MH882535.1,2016-06-16
MW123922.1,2016-05-10
MW123924.1,2016-05-07
MW123923.1,2016-06-16
MH882532.1,2016-05-24
MH882531.1,2016-05-17
MH882533.1,2016-06-03
MH882530.1,2016-05-10
MH882537.1,2016-07-05
MH882534.1,2016-06-08
MH882536.1,2016-06-28
MH882540.1,2016-07-27
MH882539.1,2016-07-19
MH882538.1,2016-07-12
MF073358.1,2015-06-01
KY120352.1,2016-03-22
KY558989.1,2015-02-23
MF098767.1,2016-07-25
MT439645.1,2016-03-18
KY559026.1,2016-01-15
KY559029.1,2016-01-01
KY817930.1,2016-01-31
KY014302.3,2016-04-21
KY014304.2,2016-04-18
KY785449.1,2016-04-05
MK560179.1,2018-01-18
KY785441.1,2016-06-13
MF438286.1,2017-02-12
MH063264.1,2017-08-13
MH063260.1,2017-08-08
KY785475.1,2016-04-07
MW122416.1,2016-06-04
KY785473.1,2016-06-15
MF664436.1,2016-08-25
MF098769.1,2016-08-25
MF098768.1,2016-08-25
KY014314.2,2016-06-14
KY014321.2,2016-04-11
KY785470.1,2016-06-18
KX673530.1,2016-04-21
MF783072.1,2016-06-27
MN566106.1,2016-05-31
MN566108.1,2016-05-31
MN566105.1,2016-05-31
MN566107.1,2016-05-31
MN566104.1,2016-05-31
KU853012.1,2016-02-01
KX922707.1,2016-08-17
KY785420.1,2016-04-18
KY014318.3,2016-04-27
KY785419.1,2016-06-13
,2016-11-10
,2016-11-21
,2016-10-26
,2016-11-28
MW122428.1,2016-09-15
KY014305.2,2016-04-05
MF098764.1,2016-05-11
KY785447.1,2016-09-22
KY785413.1,2016-10-06
LC190723.1,2016-05-20
MF098766.1,2016-05-31
KY785435.1,2016-07-07
KY785484.1,2016-06-06
MH063261.1,2017-09-24
KX269878.1,2016-02-01
KY785430.1,2016-09-28
KY014300.2,2016-04-20
KY785453.1,2016-05-10
KY325471.1,2016-08-08
KY325464.1,2016-09-19
KY325476.1,2016-10-11
KY325474.1,2016-09-13
KY075937.1,2016-09-09
KY325482.1,2016-08-24
KY325473.1,2016-08-31
KX838906.2,2016-08-23
KX922705.1,2016-08-05
KX922708.1,2016-09-04
MK269354.1,2016-08-20
MF988743.1,2016-09-01
MK269357.1,2016-09-03
KY785459.1,2016-08-15
KY785424.1,2016-07-10
MF098765.1,2016-05-23
,2016-10-27
KY785425.1,2016-04-04
KY785457.1,2016-08-01
KY785443.1,2016-08-01
MK269358.1,2016-09-01
KY325480.1,2016-07-28
KY075935.1,2016-07-22
KY075936.1,2016-08-04
KX832731.1,2016-08-24
KX922704.1,2016-08-02
KY325481.1,2016-07-29
KY325467.1,2016-07-29
MK269356.1,2016-08-19
KY325466.1,2016-07-28
KX922703.1,2016-07-19
KY075939.2,2016-10-05
KX838905.2,2016-08-23
KY325468.1,2016-08-04
KY325469.1,2016-08-04
KY325470.1,2016-08-04
KX838904.2,2016-08-22
KY325483.1,2016-08-24
KY075938.1,2016-09-20
KY325477.1,2016-10-03
KY325478.1,2016-09-26
KY325475.1,2016-10-05
KY014295.2,2016-06-22
KY014326.1,2016-08-05
MK269359.1,2016-08-18
KY325472.1,2016-08-23
OK054371.1,2016-08-23
MH513600.1,2015-12-11
KY441401.1,2016-02-29
MK216698.1,2016-04-25
MK216706.1,2016-03-01
MK216722.1,2016-01-20
MK216723.1,2016-01-14
MK216718.1,2016-02-10
MK216704.1,2016-02-19
MK216692.1,2016-04-01
KY693680.1,2016-10-19
MK216688.1,2016-03-10
MK216729.1,2015-12-16
MK216747.1,2015-12-15
MK216707.1,2016-02-29
MK216691.1,2016-03-15
MK216732.1,2016-02-02
MK216709.1,2016-03-01
MK216715.1,2016-02-10
MK216699.1,2016-05-16
MK216712.1,2016-02-10
