strain	date	country	date_submitted	recency	lineage	region	host	clade_membership	author	accession	dinuc_context_fraction	GA_CT_fraction
2091	2019-12-21	United Kingdom	2022-07-06	Older	A.1	Europe		IIb	Atkinson,B., Pottage,T., Ngabo,D., Crook,A., Pitman,J., Summers,S., Pullan,S., Lewandowski,K., Furneaux,J., Davies,K., Brooks,T.	OL504741		
2095	2019-12-21	United Kingdom	2022-07-06	Older	A.1	Europe		IIb	Atkinson,B., Pottage,T., Ngabo,D., Crook,A., Pitman,J., Summers,S., Pullan,S., Lewandowski,K., Furneaux,J., Davies,K., Brooks,T.	OL504742		
2102	2019-12-21	United Kingdom	2022-07-06	Older	A.1	Europe		IIb	Atkinson,B., Pottage,T., Ngabo,D., Crook,A., Pitman,J., Summers,S., Pullan,S., Lewandowski,K., Furneaux,J., Davies,K., Brooks,T.	OL504743		
4061	2022-05-20	Spain	2022-06-24	Older	B.1	Europe	Homo sapiens	IIb	de la Hoz-Sanchez,B., Lopez-Ortiz,M., Gutierrez-Arroyo,A., Roces-Alvarez,P., Lazaro-Peona,F., Dahdouh,E., Bloise,I., Garcia-Rodriguez,J., Mingorance,J.	ON838940		
8887	2022-06-06	Spain	2022-06-24	Older	B.1	Europe	Homo sapiens	IIb	de la Hoz-Sanchez,B., Lopez-Ortiz,M., Gutierrez-Arroyo,A., Roces-Alvarez,P., Lazaro-Peona,F., Dahdouh,E., Bloise,I., Garcia-Rodriguez,J., Mingorance,J.	ON838939		
9000231	2022-07-30	United Kingdom	2022-09-12	Older	B.1.2	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP413713		
9000353	2022-08-01	United Kingdom	2022-09-12	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP413717		
9000360	2022-08-26	United Kingdom	2022-09-12	Older	A.3	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP413718		
9000364	2022-08-01	United Kingdom	2022-09-27	Older	B.1.3	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536746		
9000366	2022-08-01	United Kingdom	2022-09-27	Older	B.1.3	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536748		
9000369	2022-08-01	United Kingdom	2022-09-27	Older	B.1.2	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536750		
9000372	2022-08-31	United Kingdom	2022-09-27	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536752	1.00	1.00
9000373	2022-08-01	United Kingdom	2022-09-27	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536753	1.00	0.75
9000384	2022-08-30	United Kingdom	2022-09-27	Older	B.1.2	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536763		
9000385	2022-09-01	United Kingdom	2022-09-27	Older	B.1.10	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536764		
9000387	2022-08-16	United Kingdom	2022-09-27	Older	B.1.6	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536765	1.00	1.00
9000388	2022-08-17	United Kingdom	2022-09-27	Older	B.1.7	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536766	1.00	1.00
9000390	2022-08-01	United Kingdom	2022-09-27	Older	B.1.2	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536768	1.00	1.00
9000392	2022-08-18	United Kingdom	2022-09-27	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536770	1.00	1.00
9000393	2022-08-25	United Kingdom	2022-09-27	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536771		
